#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000004149 0.0000522069 -30.1510334015 193.5948791504 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0570370257 0.4782849550 -41.1462707520 185.7767333984 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1191134006 0.9440432191 -46.8836975098 181.5925598145 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1789198667 1.3953047991 -50.1374359131 179.2238616943 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2350277752 1.8285458088 -51.9385185242 177.8242034912 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2863188982 2.2443015575 -52.7831878662 176.9231872559 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3325472176 2.6449708939 -53.1546134949 176.3479919434 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3738982379 3.0320765972 -53.3054847717 175.9928131104 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4101685584 3.4068715572 -53.2095603943 175.7879486084 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4412743449 3.7710666656 -52.9844932556 175.6856842041 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4672260880 4.1264786720 -52.7782325745 175.6448516846 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4880249202 4.4745364189 -52.5700874329 175.6493988037 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5038331151 4.8163485527 -52.2973632812 175.6929016113 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5149117112 5.1530447006 -51.9978675842 175.7556457520 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5213892460 5.4853935242 -51.7207183838 175.8213195801 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5234609842 5.8138995171 -51.5626182556 175.8593902588 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5213950276 6.1390719414 -51.5360221863 175.8591613770 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5153958797 6.4612255096 -51.5689239502 175.8395843506 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5056088567 6.7805047035 -51.6061973572 175.8150329590 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4921532273 7.0969829559 -51.6121101379 175.7950286865 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4751386940 7.4106550217 -51.5970687866 175.7770690918 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4546860754 7.7215766907 -51.5588798523 175.7604370117 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4309034646 8.0298357010 -51.4899520874 175.7459869385 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4038859606 8.3353605270 -51.3839645386 175.7337646484 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3737473786 8.6381702423 -51.2331008911 175.7251586914 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3405807614 8.9382886887 -51.0296707153 175.7218322754 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3045433760 9.2358627319 -50.7699623108 175.7246093750 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2658107281 9.5309629440 -50.4517631531 175.7340087891 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2245334089 9.8236837387 -50.0746688843 175.7499694824 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1808661073 10.1141195297 -49.6371421814 175.7726287842 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1350127459 10.4023561478 -49.1388702393 175.8021087646 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0871604383 10.6884746552 -48.5897445679 175.8367462158 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0374479927 10.9724807739 -48.0035095215 175.8740997314 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0138682509 11.2545518875 -47.3863639832 175.9130249023 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0666204020 11.5346784592 -46.7409515381 175.9534149170 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1206551492 11.8128805161 -46.0679702759 175.9958648682 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1758852601 12.0891475677 -45.3732757568 176.0398559570 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2321901470 12.3635196686 -44.6655044556 176.0846405029 0.0000000000 0.0000000000 0.0000000000 0.0000000000
