#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000019880 0.0001211595 14.8005733490 172.1557769775 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1228714734 0.5268007517 5.1930942535 156.7880859375 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2220192850 1.0566987991 -1.9052900076 144.9501800537 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2974900603 1.5817259550 -7.0464844704 137.0456695557 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3560457230 2.0972282887 -11.0760250092 131.0417480469 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4051198661 2.6012952328 -14.2456493378 126.4823074341 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4482478499 3.0920939445 -16.6987037659 123.1414260864 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4861780107 3.5693211555 -18.7742042542 120.6870574951 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5193486810 4.0332412720 -20.5684967041 118.8819580078 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5477129221 4.4843831062 -22.0707378387 117.6209487915 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5716903806 4.9237818718 -23.3700733185 116.7261428833 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5914862156 5.3521847725 -24.5337066650 116.0983200073 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6073185205 5.7703895569 -25.5929870605 115.6338958740 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6193878651 6.1791663170 -26.5263004303 115.2923278809 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6277287006 6.5790295601 -27.3441410065 115.0435867310 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6324936748 6.9705672264 -28.0250301361 114.8668518066 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6338926554 7.3542437553 -28.5736637115 114.7410278320 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6321886182 7.7305231094 -29.0012283325 114.6539230347 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6276689172 8.0998821259 -29.3221054077 114.5950927734 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6204789877 8.4624509811 -29.5551528931 114.5540237427 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6109058261 8.8185558319 -29.7120780945 114.5290603638 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5991503000 9.1684036255 -29.7909870148 114.5203475952 0.0000000000 0.0000000000 0.0000000000 0.0000000000
