#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 -24.8255233765 140.4467163086 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0215055943 0.4513641000 -26.4087924957 138.8717651367 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0444370024 0.9053245187 -27.2847290039 138.1142120361 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0671420842 1.3538236618 -27.8294734955 137.6611328125 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0898095444 1.7909549475 -28.1755542755 137.3564910889 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1123237312 2.2164168358 -28.4070110321 137.1535339355 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1345839053 2.6314361095 -28.5760822296 137.0202178955 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1567115337 3.0370390415 -28.6906795502 136.9332733154 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1786541492 3.4343032837 -28.7583694458 136.8771972656 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2006116807 3.8241198063 -28.8184776306 136.8392181396 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2226923108 4.2076382637 -28.8720684052 136.8113250732 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2449448854 4.5855841637 -28.8988056183 136.7932891846 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2674055696 4.9583625793 -28.8953113556 136.7838745117 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2900866866 5.3264169693 -28.8626575470 136.7819519043 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3129510880 5.6899356842 -28.8058986664 136.7853546143 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3361326754 6.0491919518 -28.7354373932 136.7913055420 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3597167432 6.4043192863 -28.6470127106 136.7996673584 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3837507665 6.7555031776 -28.5352935791 136.8106231689 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4081957936 7.1028218269 -28.3916816711 136.8249969482 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4330066144 7.4463453293 -28.2103404999 136.8433685303 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4580641687 7.7861537933 -27.9821929932 136.8674011230 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4833084941 8.1223440170 -27.6995658875 136.8981781006 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5086736083 8.4549598694 -27.3738155365 136.9339904785 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5341253281 8.7840852737 -27.0119495392 136.9737091064 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5597191453 9.1098175049 -26.6321678162 137.0131225586 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5855427980 9.4322061539 -26.2419471741 137.0502471924 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6116642952 9.7513637543 -25.8394737244 137.0855407715 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6381129622 10.0674228668 -25.4294891357 137.1184997559 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6648894548 10.3805866241 -25.0152130127 137.1490936279 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6919977069 10.6909914017 -24.5937709808 137.1777954102 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7193923593 10.9988021851 -24.1611309052 137.2052307129 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7471516728 11.3042230606 -23.7181930542 137.2314453125 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7754445672 11.6074943542 -23.2669448853 137.2563018799 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8044523001 11.9088544846 -22.8099956512 137.2794342041 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8343713880 12.2084760666 -22.3507213593 137.3004455566 0.0000000000 0.0000000000 0.0000000000 0.0000000000
