#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000015394 0.0001042066 -12.5488567352 178.3650665283 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0992590636 0.5190073848 -18.5312576294 169.8324127197 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1681017578 1.0180544853 -21.7073192596 164.2805480957 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2120076567 1.5075221062 -24.2042198181 160.7354125977 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2350998372 1.9920166731 -27.0464324951 157.9192504883 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2532878816 2.4728004932 -29.7265701294 155.7794799805 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2690818906 2.9442644119 -32.1860542297 154.1964721680 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2812057436 3.4029917717 -34.4757347107 153.0278015137 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2886526287 3.8475592136 -36.5011672974 152.1842803955 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2907535136 4.2775988579 -38.2974853516 151.5581817627 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2871779799 4.6930580139 -39.8546218872 151.0881195068 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2782405019 5.0943994522 -41.1809501648 150.7264709473 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2638845146 5.4812192917 -42.2939910889 150.4435119629 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2443698496 5.8537154198 -43.1621208191 150.2315063477 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2201534808 6.2122154236 -43.8016166687 150.0813598633 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1916748434 6.5571236610 -44.2134094238 149.9893493652 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1596145928 6.8892188072 -44.4339065552 149.9435577393 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1245465949 7.2091598511 -44.5406188965 149.9219360352 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0870365947 7.5172910690 -44.5758628845 149.9135894775 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0475305356 7.8140616417 -44.5572052002 149.9130859375 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0063878628 8.1002206802 -44.5077400208 149.9147033691 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0360209867 8.3764801025 -44.4217376709 149.9202270508 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0793492794 8.6436052322 -44.2785720825 149.9353637695 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1233541295 8.9024314880 -44.0677337646 149.9621887207 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1677803844 9.1540336609 -43.7889175415 150.0018157959 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2124504745 9.3993520737 -43.4473533630 150.0531158447 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2571076453 9.6391611099 -43.0419273376 150.1168060303 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3015819490 9.8744401932 -42.5692291260 150.1950988770 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3456385136 10.1061306000 -42.0437355042 150.2840881348 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3891164362 10.3348531723 -41.4794692993 150.3809814453 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4318155348 10.5610561371 -40.8881111145 150.4830780029 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4734837413 10.7851800919 -40.2731895447 150.5902252197 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5139736533 11.0075893402 -39.6325798035 150.7035827637 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5531649590 11.2285366058 -38.9600257874 150.8244934082 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5908991098 11.4481868744 -38.2579154968 150.9521484375 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6270374060 11.6665563583 -37.5350914001 151.0848846436 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6614382863 11.8838281631 -36.8002281189 151.2206573486 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6940857172 12.0999050140 -36.0583877563 151.3591918945 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7247532010 12.3148546219 -35.3144416809 151.5006866455 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7534762025 12.5285625458 -34.5644302368 151.6471252441 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7801037431 12.7410440445 -33.8085136414 151.7990417480 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8044764996 12.9521741867 -33.0399742126 151.9592590332 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8264902234 13.1613740921 -32.2766609192 152.1222229004 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8460034728 13.3678617477 -31.5391559601 152.2835693359 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8627195358 13.5712900162 -30.8328990936 152.4426879883 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8766270876 13.7714424133 -30.1671333313 152.5967102051 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8876647949 13.9682054520 -29.5478572845 152.7443542480 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8957443237 14.1615734100 -28.9814205170 152.8829803467 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9008861184 14.3517026901 -28.4713668823 153.0107269287 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9031156898 14.5391368866 -28.0166263580 153.1276702881 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.9025356770 14.7245836258 -27.6171569824 153.2333679199 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8994398713 14.9086360931 -27.2717018127 153.3276672363 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8939666748 15.0919761658 -26.9779586792 153.4107971191 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8863297105 15.2749948502 -26.7353191376 153.4829711914 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8768361807 15.4580869675 -26.5423851013 153.5444641113 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8656710982 15.6415405273 -26.3975353241 153.5950622559 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8531598449 15.8255548477 -26.2979965210 153.6353302002 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8395281434 16.0102119446 -26.2408542633 153.6660766602 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8249481320 16.1955070496 -26.2240715027 153.6871490479 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8098035455 16.3811130524 -26.2450771332 153.6989288330 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7941645980 16.5669097900 -26.3017883301 153.7017059326 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7782659531 16.7525558472 -26.3929824829 153.6955566406 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7624108195 16.9376239777 -26.5153312683 153.6814117432 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7467986345 17.1215934753 -26.6650962830 153.6595611572 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7315841913 17.3038730621 -26.8379764557 153.6310577393 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7167705894 17.4838199615 -27.0291824341 153.5976409912 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7025687695 17.6607685089 -27.2335147858 153.5600128174 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6891283393 17.8341503143 -27.4446372986 153.5203094482 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6766240001 18.0035133362 -27.6563072205 153.4802551270 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6651859879 18.1685047150 -27.8628177643 153.4409332275 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6551111341 18.3288955688 -28.0586109161 153.4033660889 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6464859247 18.4847068787 -28.2384357452 153.3687744141 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6394289136 18.6360778809 -28.3981552124 153.3383636475 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6339925528 18.7832260132 -28.5347709656 153.3120269775 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6302405596 18.9263629913 -28.6467418671 153.2899017334 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6281514168 19.0656909943 -28.7331848145 153.2715454102 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6276782155 19.2014808655 -28.7935276031 153.2571716309 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6286447644 19.3341140747 -28.8268718719 153.2473754883 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6308945417 19.4640083313 -28.8329830170 153.2422790527 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6342314482 19.5913658142 -28.8128414154 153.2418670654 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6384767890 19.7162876129 -28.7679634094 153.2460937500 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6433646083 19.8388748169 -28.7005577087 153.2540435791 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6486322284 19.9591541290 -28.6132068634 153.2651977539 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6541787386 20.0771427155 -28.5093116760 153.2790222168 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6598885059 20.1927738190 -28.3928833008 153.2940521240 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6656436920 20.3061981201 -28.2680149078 153.3098449707 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6713879704 20.4175720215 -28.1384220123 153.3257598877 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6770820022 20.5269680023 -28.0071640015 153.3411407471 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6826367974 20.6345901489 -27.8773021698 153.3554229736 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6880868077 20.7406463623 -27.7512302399 153.3684234619 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6933323145 20.8453712463 -27.6310043335 153.3796997070 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6982671022 20.9490489960 -27.5182418823 153.3887634277 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7028197646 21.0517883301 -27.4138813019 153.3956909180 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7069208622 21.1537017822 -27.3183364868 153.4006347656 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7105335593 21.2548217773 -27.2316322327 153.4040527344 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7135280967 21.3551158905 -27.1536540985 153.4057769775 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7159185410 21.4545249939 -27.0833320618 153.4062042236 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7175943255 21.5528545380 -27.0196743011 153.4053649902 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7186422944 21.6499729156 -26.9612464905 153.4036865234 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7190700769 21.7457580566 -26.9065437317 153.4015045166 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7189247608 21.8400917053 -26.8547306061 153.3990325928 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7181788683 21.9330310822 -26.8048133850 153.3968048096 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7168750763 22.0245532990 -26.7562885284 153.3948974609 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7150859833 22.1146888733 -26.7090053558 153.3929748535 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7128002048 22.2035026550 -26.6625747681 153.3912811279 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7100338340 22.2910633087 -26.6167678833 153.3898773193 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7068139315 22.3774185181 -26.5718708038 153.3887023926 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7031217813 22.4626445770 -26.5284767151 153.3873138428 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6990362406 22.5467872620 -26.4871711731 153.3855285645 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6945567131 22.6299057007 -26.4478912354 153.3830413818 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6897289753 22.7119998932 -26.4109210968 153.3799743652 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6846210361 22.7930889130 -26.3765277863 153.3763732910 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6792614460 22.8731594086 -26.3452491760 153.3719787598 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6737430096 22.9522895813 -26.3168125153 153.3668518066 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6680131555 23.0304584503 -26.2906532288 153.3611907959 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6621625423 23.1077194214 -26.2664260864 153.3549499512 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6562413573 23.1841697693 -26.2438163757 153.3481597900 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6503078938 23.2598991394 -26.2225322723 153.3406524658 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6443994045 23.3350238800 -26.2020568848 153.3328704834 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6386499405 23.4094715118 -26.1817417145 153.3252716064 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6331264973 23.4832897186 -26.1615352631 153.3175964355 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6278100014 23.5564498901 -26.1408901215 153.3098907471 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6227708459 23.6289558411 -26.1194686890 153.3020477295 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6180504560 23.7008132935 -26.0968971252 153.2942962646 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6136620045 23.7720775604 -26.0731811523 153.2868652344 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6096476912 23.8426856995 -26.0483436584 153.2798614502 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6059657335 23.9125690460 -26.0228767395 153.2730865479 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6026008129 23.9817104340 -25.9972190857 153.2664489746 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5994582176 24.0501232147 -25.9720764160 153.2599029541 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5966432691 24.1177711487 -25.9478073120 153.2534027100 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5941761136 24.1846981049 -25.9248561859 153.2469787598 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5920074582 24.2509632111 -25.9032821655 153.2403717041 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5900663137 24.3166160583 -25.8831996918 153.2337493896 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5882731676 24.3816299438 -25.8647918701 153.2268524170 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5866366625 24.4460506439 -25.8484344482 153.2194976807 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5850639343 24.5098762512 -25.8343982697 153.2116851807 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5835296512 24.5731201172 -25.8230628967 153.2031707764 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5819295049 24.6357650757 -25.8145141602 153.1940002441 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5802185535 24.6978054047 -25.8086910248 153.1841278076 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5783832669 24.7592639923 -25.8052425385 153.1736145020 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5764400959 24.8200626373 -25.8030910492 153.1625518799 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5743123889 24.8802642822 -25.8011207581 153.1512145996 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5719549060 24.9398841858 -25.7980480194 153.1399536133 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5693470240 24.9988975525 -25.7927780151 153.1289672852 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5664508939 25.0573253632 -25.7837848663 153.1185607910 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5633034706 25.1152019501 -25.7701892853 153.1091308594 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5600411296 25.1724624634 -25.7521648407 153.1006622314 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5565246344 25.2291374207 -25.7303256989 153.0929107666 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5527448058 25.2852210999 -25.7055263519 153.0858154297 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5487712622 25.3407077789 -25.6784191132 153.0793609619 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5446670055 25.3956985474 -25.6497898102 153.0730743408 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5403501987 25.4502182007 -25.6200561523 153.0673065186 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5358676910 25.5042762756 -25.5904083252 153.0617370605 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5312756300 25.5579090118 -25.5619640350 153.0559997559 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5265375376 25.6111450195 -25.5352668762 153.0498962402 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5216458440 25.6640319824 -25.5106925964 153.0433959961 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5165586472 25.7166042328 -25.4880962372 153.0367126465 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5113220811 25.7688636780 -25.4684505463 153.0294342041 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5059881210 25.8208580017 -25.4525489807 153.0214233398 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5005045533 25.8726177216 -25.4408874512 153.0126190186 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4949568510 25.9241371155 -25.4335174561 153.0030517578 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4893580973 25.9753875732 -25.4301280975 152.9926452637 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4837153256 26.0263195038 -25.4302310944 152.9815979004 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4780465662 26.0768756866 -25.4330253601 152.9700927734 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4723904729 26.1269683838 -25.4373054504 152.9583282471 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4667854905 26.1766033173 -25.4417953491 152.9465484619 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4612097144 26.2257537842 -25.4434165955 152.9360656738 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4556752145 26.2744255066 -25.4425106049 152.9260864258 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4501986504 26.3226184845 -25.4381599426 152.9168853760 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4447042048 26.3703594208 -25.4297523499 152.9085235596 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4391846359 26.4176731110 -25.4165687561 152.9012145996 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4336841702 26.4645347595 -25.3985595703 152.8950653076 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4281913936 26.5109024048 -25.3760719299 152.8899993896 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4226913154 26.5568275452 -25.3501338959 152.8857421875 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4171942174 26.6023941040 -25.3217468262 152.8821258545 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4117192924 26.6476249695 -25.2921295166 152.8788452148 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4062611461 26.6926040649 -25.2625274658 152.8756256104 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4007850587 26.7373714447 -25.2339725494 152.8722076416 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3953375816 26.7818546295 -25.2063293457 152.8689270020 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3898986578 26.8262329102 -25.1817207336 152.8649291992 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3845048845 26.8705635071 -25.1605300903 152.8601684570 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3791125715 26.9148826599 -25.1423645020 152.8547210693 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3737218976 26.9591770172 -25.1263809204 152.8488006592 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3684839010 27.0034618378 -25.1119174957 152.8425903320 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3633493483 27.0477619171 -25.0980415344 152.8363342285 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3582133949 27.0921268463 -25.0845432281 152.8297882080 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3531162739 27.1365432739 -25.0712451935 152.8231964111 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3479781151 27.1809597015 -25.0577430725 152.8164672852 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3428990841 27.2253837585 -25.0434150696 152.8098907471 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3379580677 27.2697696686 -25.0278453827 152.8035125732 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3332307339 27.3140068054 -25.0103435516 152.7974243164 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3285567164 27.3582324982 -24.9894618988 152.7918548584 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3239762187 27.4024200439 -24.9655551910 152.7868652344 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3194706142 27.4465999603 -24.9386005402 152.7823638916 0.0000000000 0.0000000000 0.0000000000 0.0000000000
