#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000014017 0.0000999551 -17.1745681763 179.7773437500 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0476506315 0.5932422280 -22.5064258575 168.9688262939 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0866600648 1.1801632643 -25.2623729706 161.7608489990 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1214247569 1.7624737024 -27.4200744629 157.1528320312 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1541311145 2.3332798481 -29.3718795776 154.1100311279 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1863525510 2.8900864124 -31.2740097046 151.9596099854 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2179275751 3.4319341183 -33.1379623413 150.4688720703 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2483703494 3.9585347176 -34.9739112854 149.4423217773 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2771453857 4.4705643654 -36.7419700623 148.7191467285 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3037285209 4.9685792923 -38.3577613831 148.2112426758 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3275440633 5.4532780647 -39.7670822144 147.8641052246 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3484213352 5.9252109528 -40.9668235779 147.6240997314 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3662389219 6.3849496841 -42.0107040405 147.4511566162 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3811291158 6.8332123756 -42.9367866516 147.3206939697 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3931003511 7.2704205513 -43.7563858032 147.2203521729 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4022021294 7.6971158981 -44.4786109924 147.1415405273 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4084587991 8.1137475967 -45.1117401123 147.0774078369 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4119469821 8.5205583572 -45.6526412964 147.0273132324 0.0000000000 0.0000000000 0.0000000000 0.0000000000
