#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000021541 0.0001076868 -39.7512931824 132.9521179199 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0049683615 0.5648691058 -39.7073440552 132.7989196777 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0112758167 1.1582745314 -39.6243667603 132.7528686523 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0178165045 1.7608959675 -39.4646072388 132.7113037109 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0243313164 2.3632645607 -39.2077560425 132.6723480225 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0308336001 2.9608931541 -38.8663902283 132.6487731934 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0374429636 3.5516457558 -38.4867172241 132.6321868896 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0441740081 4.1346950531 -38.0901451111 132.6148986816 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0508851223 4.7099342346 -37.6801376343 132.5950164795 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0574157983 5.2773966789 -37.2567939758 132.5682067871 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0636609420 5.8372116089 -36.7913742065 132.5346832275 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0696465820 6.3895282745 -36.2685012817 132.4930572510 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0754850283 6.9344100952 -35.6283416748 132.4499664307 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0812731460 7.4719972610 -34.8168067932 132.4143524170 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0870058835 8.0024995804 -33.7611007690 132.3968048096 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0927204862 8.5260095596 -32.3937492371 132.4067993164 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0982883349 9.0427742004 -30.6437606812 132.4635467529 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1036072820 9.5531311035 -28.5217533112 132.5703430176 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1081441641 10.0574760437 -26.3145618439 132.6649627686 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1113355532 10.5559892654 -24.1930274963 132.7180480957 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1126819998 11.0488224030 -22.2406959534 132.7138214111 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1119455323 11.5360441208 -20.6023216248 132.6399993896 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1090040505 12.0176658630 -19.4939918518 132.4829711914 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1040330157 12.4936828613 -18.9848537445 132.2601013184 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0975778103 12.9640836716 -18.9520683289 132.0042114258 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0903505832 13.4288759232 -19.2366333008 131.7425079346 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0829544216 13.8881139755 -19.7116546631 131.4898681641 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0758522898 14.3419513702 -20.2812786102 131.2545013428 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0693897530 14.7905454636 -20.8699150085 131.0438385010 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0638393685 15.2339944839 -21.4536170959 130.8592529297 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0593153834 15.6724328995 -22.0042667389 130.7009887695 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0558616854 16.1058483124 -22.4796485901 130.5687866211 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0534837581 16.5341739655 -22.8264446259 130.4624176025 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0521169305 16.9572944641 -23.0182418823 130.3781280518 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0516912304 17.3749828339 -23.0427989960 130.3123016357 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0520903021 17.7870750427 -22.9008789062 130.2641601562 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0531964488 18.1934242249 -22.5979843140 130.2337799072 0.0000000000 0.0000000000 0.0000000000 0.0000000000
