#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 -22.6904716492 80.3425521851 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0069239191 0.2577303648 -25.3643474579 76.9854812622 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0156344529 0.5271740556 -27.0716285706 75.2593612671 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0249821413 0.7985062003 -28.3639125824 74.0308380127 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0348046236 1.0666184425 -29.4530162811 73.0861892700 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0451628007 1.3287909031 -30.3917541504 72.3669509888 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0559812337 1.5834511518 -31.2226104736 71.8110809326 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0671329275 1.8300015926 -31.9617290497 71.3737106323 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0784466639 2.0683171749 -32.5469093323 71.0533905029 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0898640454 2.2984848022 -33.0085830688 70.8203201294 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1014797613 2.5206797123 -33.4110183716 70.6362686157 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1131845638 2.7349474430 -33.7594146729 70.4879684448 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1248124316 2.9413650036 -34.0841865540 70.3591232300 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1361419410 3.1398506165 -34.3650093079 70.2515487671 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1470563561 3.3301916122 -34.5909957886 70.1660995483 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1573896855 3.5123252869 -34.7646484375 70.0996398926 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1669290513 3.6863987446 -34.9003410339 70.0450592041 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1755190045 3.8527882099 -35.0289230347 69.9879074097 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1830006093 4.0118465424 -35.1119575500 69.9464569092 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1892173737 4.1643185616 -35.1416244507 69.9248657227 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1939490438 4.3111124039 -35.1515655518 69.9083328247 0.0000000000 0.0000000000 0.0000000000 0.0000000000
