#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000047899 0.0001791091 -17.2155246735 66.4767608643 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0505219698 0.4611449242 -17.6877937317 66.1840515137 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0903851613 0.9396142364 -16.1059417725 66.8635177612 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1169765890 1.4250612259 -13.7729616165 67.9563980103 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1372133642 1.9200592041 -11.2259111404 69.2658462524 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1579315513 2.4263296127 -8.8043689728 70.6574859619 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1849213988 2.9427340031 -6.4963278770 72.0651931763 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2202029079 3.4674868584 -4.0892963409 73.6087951660 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2648949325 3.9984374046 -1.5011265278 75.3930206299 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3202863932 4.5342378616 1.1892827749 77.4761352539 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3878075778 5.0732569695 3.9566164017 79.9656753540 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4675967991 5.6144437790 6.7819700241 82.9245834351 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5601738095 6.1569705009 9.7543601990 86.5015563965 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6657555103 6.7005872726 12.8782730103 90.6963958740 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.7848314047 7.2452449799 15.9925031662 95.3087158203 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.9185020328 7.7916336060 18.7846069336 99.9446640015 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.0664807558 8.3400011063 21.0756683350 104.2783126831 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.2283940315 8.8895940781 22.9271469116 108.2830581665 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.4037925005 9.4395236969 24.4204998016 112.1336364746 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.5918629169 9.9890155792 25.4994773865 116.0129547119 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.7915410995 10.5373106003 26.1376285553 120.0952224731 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.0012876987 11.0840759277 26.6391334534 124.5610198975 0.0000000000 0.0000000000 0.0000000000 0.0000000000
