#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000016409 0.0000961881 -38.2333335876 184.0961303711 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0020653997 0.4418791533 -40.3916664124 183.0819854736 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0066992426 0.9056360722 -41.5120887756 182.7292175293 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0132521661 1.3739889860 -42.2817687988 182.4443969727 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0202212967 1.8395799398 -42.8033523560 182.2405090332 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0270835627 2.2972056866 -43.0169219971 182.1153717041 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0344398953 2.7447953224 -42.9175758362 182.0557556152 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0426059328 3.1824114323 -42.6030387878 182.0374145508 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0513697900 3.6112957001 -42.1621894836 182.0435180664 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0603146106 4.0333142281 -41.6731681824 182.0587310791 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0691349879 4.4501047134 -41.2399940491 182.0628051758 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0775656551 4.8627858162 -40.8832092285 182.0514831543 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0854245648 5.2718224525 -40.6287460327 182.0190582275 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0926564261 5.6772890091 -40.5111885071 181.9566345215 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0992564857 6.0789165497 -40.4230804443 181.8820495605 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1052361503 6.4763007164 -40.3054046631 181.8067474365 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1104835495 6.8691043854 -40.1500816345 181.7321014404 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1148828343 7.2569179535 -39.9616241455 181.6567382812 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1183641180 7.6393980980 -39.7398452759 181.5800018311 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1208428890 8.0165195465 -39.4854278564 181.5000152588 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1223974824 8.3884716034 -39.1954269409 181.4161224365 0.0000000000 0.0000000000 0.0000000000 0.0000000000
