#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000001338 0.0000293706 -42.5484733582 89.9922485352 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0230514184 0.2547800541 -43.6026992798 89.3816299438 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0540059879 0.5414082408 -44.2552337646 89.0499954224 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0888751149 0.8446629643 -44.6151809692 88.8142013550 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1268259585 1.1572178602 -44.7915496826 88.6287231445 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1672378182 1.4750587940 -44.8328094482 88.4773025513 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2096267790 1.7943892479 -44.6276512146 88.3889389038 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2535849810 2.1114730835 -44.1511878967 88.3575515747 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2985729277 2.4249389172 -43.5040130615 88.3471069336 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3440442383 2.7344872952 -42.8340644836 88.3031692505 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3890365958 3.0402271748 -42.1257858276 88.2421798706 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4325922430 3.3424372673 -41.3550834656 88.1762542725 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4735790193 3.6412701607 -40.4677085876 88.1147308350 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5112965703 3.9365818501 -39.3866729736 88.0809097290 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5459589958 4.2282986641 -38.0847778320 88.0707778931 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5781919360 4.5163230896 -36.3899345398 88.1474075317 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6072594523 4.8004932404 -34.1539001465 88.3704757690 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6315906644 5.0803561211 -31.2423133850 88.7723617554 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6480512619 5.3560953140 -27.3284702301 89.5134201050 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6509111524 5.6279492378 -22.7104549408 90.4707031250 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6348235011 5.8969511986 -17.6507492065 91.5390472412 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5919546485 6.1647586823 -12.8964042664 92.4413528442 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5159066916 6.4336872101 -9.6332769394 92.6640930176 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4069513977 6.7071900368 -7.8458628654 92.2282028198 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2698432505 6.9888119698 -7.1121878624 91.3157272339 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1095197722 7.2805242538 -6.9385290146 90.1138992310 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0709157512 7.5826826096 -6.8664951324 88.7679214478 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2675588429 7.8939499855 -6.4440894127 87.4022979736 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4747925103 8.2126979828 -5.2539811134 86.1071395874 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6899169087 8.5371971130 -2.9561836720 84.9405059814 0.0000000000 0.0000000000 0.0000000000 0.0000000000
