#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000001204 0.0000248141 -118.5959472656 167.0462646484 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0268313661 0.8134624362 -121.3340225220 164.3244781494 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0562364273 1.5610454082 -122.8563003540 163.2909851074 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0922334939 2.2432031631 -122.6544189453 163.0342712402 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1330720186 2.8670084476 -121.1288757324 163.2519073486 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1788045764 3.4522440434 -118.5819015503 163.8200225830 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2263439596 4.0058455467 -115.9552230835 164.3198699951 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2734509706 4.5300655365 -113.4366836548 164.7063140869 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3207017779 5.0335526466 -110.3680953979 165.2422180176 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.3686243892 5.5237302780 -106.7146072388 165.9302520752 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4170973301 6.0056247711 -102.5563583374 166.7138366699 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.4656318426 6.4827699661 -98.1093292236 167.5102844238 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5140493512 6.9575467110 -93.6492309570 168.2241210938 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.5624848604 7.4313278198 -89.5202026367 168.7350158691 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6111959219 7.9047784805 -86.0144119263 168.9518737793 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.6604157686 8.3780755997 -83.2562332153 168.8480529785 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7101499438 8.8510084152 -81.2541809082 168.4338378906 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.7602026463 9.3231964111 -79.8443908691 167.7625579834 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.8105656505 9.7941942215 -78.8937911987 166.8740386963 0.0000000000 0.0000000000 0.0000000000 0.0000000000
