#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000025151 0.0001325172 -26.4416255951 57.8889999390 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0804895163 0.4432851374 -27.8822669983 57.0945930481 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1492252946 0.8786348104 -28.1654396057 56.8120269775 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1955549568 1.3084628582 -28.1608200073 56.6748237610 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2206189185 1.7408883572 -28.0808372498 56.5735740662 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2293184698 2.1760778427 -27.9409065247 56.5029373169 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2273858935 2.6123523712 -27.7327499390 56.4620819092 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2185789496 3.0465152264 -27.4547328949 56.4552574158 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2055743486 3.4766612053 -27.1203746796 56.4863853455 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1906930953 3.9026265144 -26.7606678009 56.5552291870 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1753576100 4.3246164322 -26.3855438232 56.6731643677 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1605360061 4.7424225807 -26.0060615540 56.8494987488 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1470772624 5.1565032005 -25.6529655457 57.0854911804 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1353876591 5.5669698715 -25.3782501221 57.3690948486 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1257558018 5.9740204811 -25.2217025757 57.6699142456 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1182414815 6.3775410652 -25.1836738586 57.9650650024 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1128591150 6.7771348953 -25.2456054688 58.2399635315 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1096254662 7.1722126007 -25.3720130920 58.4934539795 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1084583029 7.5622186661 -25.5264968872 58.7318000793 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1092765778 7.9463114738 -25.6743850708 58.9696693420 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1119292825 8.3233194351 -25.7926940918 59.2232131958 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1164618880 8.6927165985 -25.8695278168 59.4955558777 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1229649931 9.0539579391 -25.8996486664 59.7907104492 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1318221539 9.4070568085 -25.8959197998 60.1032409668 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1432593912 9.7521190643 -25.8812351227 60.4229354858 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1574608982 10.0892724991 -25.8711509705 60.7406539917 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1748934090 10.4188251495 -25.8776493073 61.0388450623 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1957656592 10.7413377762 -25.8966140747 61.3122291565 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2204130143 11.0572681427 -25.9121036530 61.5621452332 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2489859164 11.3674106598 -25.9115829468 61.7850914001 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2814411223 11.6722974777 -25.8934192657 61.9708747864 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3178023696 11.9724817276 -25.8664665222 62.1105346680 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.3581642210 12.2685127258 -25.8476829529 62.1934318542 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4023079872 12.5607500076 -25.8565139771 62.2095451355 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4498913586 12.8495578766 -25.9112606049 62.1561164856 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5005072951 13.1349601746 -26.0209712982 62.0334320068 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.5535504222 13.4167757034 -26.1754512787 61.8528099060 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6084037423 13.6946258545 -26.3420944214 61.6473197937 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6645178795 13.9682302475 -26.4881744385 61.4496231079 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.7213277817 14.2372903824 -26.6005001068 61.2734718323 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.7783676386 14.5014925003 -26.6847534180 61.1151885986 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.8353888988 14.7608804703 -26.7573223114 60.9717102051 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.8921970129 15.0153751373 -26.8253345490 60.8506546021 0.0000000000 0.0000000000 0.0000000000 0.0000000000
