#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0000019661 0.0001089829 -14.2329673767 79.0649566650 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0012963387 0.5012053251 -16.2474155426 78.2320022583 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0051488876 1.0079189539 -16.9050979614 77.8554534912 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0143648563 1.5072227716 -17.1573829651 77.6405410767 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0264488012 1.9926204681 -17.1904087067 77.5355377197 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0394098908 2.4646730423 -16.9256324768 77.5267486572 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0526853353 2.9239306450 -16.5598621368 77.5523223877 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0661412403 3.3709671497 -16.2726306915 77.5633773804 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0797297582 3.8075294495 -15.9860353470 77.5729904175 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0934124365 4.2355155945 -15.6567373276 77.5912170410 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1071459353 4.6563067436 -15.2957830429 77.6156539917 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1206901073 5.0710473061 -14.9670553207 77.6284179688 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1341536045 5.4804558754 -14.6652269363 77.6285629272 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1474852264 5.8857736588 -14.3667430878 77.6206436157 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1608139277 6.2877616882 -14.0461034775 77.6098861694 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1743156463 6.6868472099 -13.6875648499 77.6003494263 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.1880804151 7.0834312439 -13.2794389725 77.5934600830 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.2023406029 7.4775228500 -12.8052291870 77.5929870605 0.0000000000 0.0000000000 0.0000000000 0.0000000000
